Composer---Artist Pair,No of tracks they have produced together
Steve Harris-----Iron Maiden,75
U2-----U2,44
Jagger/Richards-----The Rolling Stones,35
Billy Corgan-----Smashing Pumpkins,31
Kurt Cobain-----Nirvana,26
Bill Berry-Peter Buck-Mike Mills-Michael Stipe-----R.E.M.,25
The Tea Party-----The Tea Party,24
Chico Science-----Chico Science & Nação Zumbi,23
Miles Davis-----Miles Davis,23
Titãs-----Titãs,22
Billie Joe Armstrong -Words Green Day -Music-----Green Day,20
J.C. Fogerty-----Creedence Clearwater Revival,20
Anthony Kiedis/Chad Smith/Flea/John Frusciante-----Red Hot Chili Peppers,19
Renato Russo-----Legião Urbana,19
Chris Robinson/Rich Robinson-----The Black Crowes,18
Herbert Vianna-----Os Paralamas Do Sucesso,18
J. C. Fogerty-----Creedence Clearwater Revival,17
Vários-----Antônio Carlos Jobim,17
"Anthony Kiedis, Flea, John Frusciante, and Chad Smith-----Red Hot Chili Peppers",16
Gilberto Gil-----Eric Clapton,16
Jimi Hendrix-----Jimi Hendrix,16
R.E.M.-----R.E.M.,16
"Jimmy Page, Robert Plant-----Led Zeppelin",15
Van Halen-----Van Halen,15
Audioslave/Chris Cornell-----Audioslave,14
"Brian Eno, Bono, Adam Clayton, The Edge & Larry Mullen Jnr.-----Passengers",14
G M Sumner-----The Police,14
Geddy Lee And Alex Lifeson/Geddy Lee And Neil Peart/Rush-----Rush,14
João Suplicy-----João Suplicy,14
Alanis Morissette & Glenn Ballard-----Alanis Morissette,13
Chris Cornell-----Chris Cornell,13
Clarke/Kilmister/Taylor-----Motörhead,13
Pete Townshend-----The Who,13
Robert Plant-----Led Zeppelin,13
"Bono, The Edge, Adam Clayton, and Larry Mullen-----U2",12
"Bono/Clayton, Adam/Mullen Jr., Larry/The Edge-----U2",12
"Cornell, Commerford, Morello, Wilk-----Audioslave",12
Dave Abbruzzese/Eddie Vedder/Jeff Ament/Mike McCready/Stone Gossard-----Pearl Jam,12
"Dave Kushner, Duff, Matt Sorum, Scott Weiland & Slash-----Velvet Revolver",12
Djavan-----Djavan,12
Eddie Vedder-----Pearl Jam,12
"Ian Gillan, Roger Glover, Jon Lord, Steve Morse, Ian Paice-----Deep Purple",12
"Jimmy Page, Robert Plant, Charlie Jones, Michael Lee-----Page & Plant",12
Jimmy Page/Robert Plant-----Led Zeppelin,12
Mônica Marianno-----Mônica Marianno,12
Red Hot Chili Peppers-----Red Hot Chili Peppers,12
"Adam Clayton, Bono, Larry Mullen & The Edge-----U2",11
"Adam Clayton, Bono, Larry Mullen, The Edge-----U2",11
Bill Berry/Michael Stipe/Mike Mills/Peter Buck-----R.E.M. Feat. Kate Pearson,11
Bob Rock/James Hetfield/Kirk Hammett/Lars Ulrich-----Metallica,11
Caetano Veloso e Gilberto Gil-----Marisa Monte,11
Foo Fighters-----Foo Fighters,11
"James Hetfield, Lars Ulrich-----Metallica",11
Samuel Rosa-----Skank,11
"Angus Young, Malcolm Young, Brian Johnson-----AC/DC",10
Chris Cornell-----Soundgarden,10
