count(g.Name),BillingCountry,categorising_country_for_rock_concerts
157,USA,good choice
107,Canada,good choice
81,Brazil,doable
65,France,doable
62,Germany,doable
37,United Kingdom,doable
31,Portugal,doable
25,Czech Republic,poorchoice
25,India,poorchoice
22,Australia,poorchoice
22,Poland,poorchoice
22,Spain,poorchoice
21,Belgium,poorchoice
21,Denmark,poorchoice
18,Finland,poorchoice
18,Italy,poorchoice
18,Netherlands,poorchoice
17,Norway,poorchoice
15,Austria,poorchoice
12,Ireland,poorchoice
11,Hungary,poorchoice
10,Sweden,poorchoice
9,Argentina,poorchoice
9,Chile,poorchoice
